       # iter     analytical       residual
              0       0.832224     0.00836601
              1       0.691921     0.00699901
              2       0.574647     0.00585536
              3       0.476682     0.00489845
              4         0.3949     0.00409733
              5       0.326673     0.00342526
              6       0.269789     0.00285845
              7       0.222388     0.00238583
              8        0.18291     0.00198759
              9        0.15005     0.00165094
             10       0.122722     0.00136905
             11       0.100023     0.00113574
             12      0.0812004    0.000939965
             13      0.0656211    0.000775969
             14      0.0527533    0.000638932
             15      0.0421481    0.000524759
             16      0.0334265    0.000429995
             17      0.0262694    0.000353458
             18       0.020408    0.000290131
             19      0.0156173    0.000237746
             20      0.0119051    0.000194502
             21      0.0116389    0.000158876
             22      0.0114221    0.000129585
             23      0.0112452    0.000105549
             24      0.0111008    8.58629e-05
