     # analyt         jacobi          gauss            sor
      -0.002649    -0.00254422     -0.0025409    -0.00253483
      -0.003686    -0.00363294    -0.00362747    -0.00361817
      -0.004168    -0.00412563    -0.00411893     -0.0041081
      -0.004401    -0.00435685    -0.00434961    -0.00433823
      -0.004517     -0.0044677    -0.00446044    -0.00444913
      -0.004576    -0.00452116    -0.00451426    -0.00450349
      -0.004605    -0.00454624    -0.00453997    -0.00453036
      -0.004618    -0.00455618    -0.00455078      -0.004543
      -0.004618    -0.00455618    -0.00455181    -0.00454634
      -0.004605    -0.00454624    -0.00454303    -0.00454002
      -0.004576    -0.00452116    -0.00451916     -0.0045184
      -0.004517     -0.0044677    -0.00446686    -0.00446781
      -0.004401    -0.00435685    -0.00435697    -0.00435893
      -0.004168    -0.00412563    -0.00412641    -0.00412864
      -0.003686    -0.00363294    -0.00363395    -0.00363582
      -0.002649    -0.00254422    -0.00254497    -0.00254603
      -0.003686    -0.00363294    -0.00362747    -0.00361817
      -0.005339    -0.00537757     -0.0053687    -0.00535466
      -0.006158    -0.00622212    -0.00621146     -0.0061954
      -0.006569    -0.00663483    -0.00662359    -0.00660705
      -0.006779    -0.00683775     -0.0068268    -0.00681074
      -0.006886    -0.00693722    -0.00692717    -0.00691239
       -0.00694    -0.00698437    -0.00697566    -0.00696315
      -0.006962    -0.00700319    -0.00699613    -0.00698686
      -0.006962    -0.00700319    -0.00699803    -0.00699258
       -0.00694    -0.00698437    -0.00698125    -0.00697967
      -0.006886    -0.00693722    -0.00693613    -0.00693788
      -0.006779    -0.00683775    -0.00683849    -0.00684258
      -0.006569    -0.00663483    -0.00663698    -0.00664217
      -0.006158    -0.00622212    -0.00622504    -0.00623011
      -0.005339    -0.00537757    -0.00538044    -0.00538438
      -0.003686    -0.00363294    -0.00363483    -0.00363696
      -0.004168    -0.00412563    -0.00411893     -0.0041081
      -0.006158    -0.00622212    -0.00621146     -0.0061954
      -0.007192    -0.00728262    -0.00727012    -0.00725211
       -0.00773     -0.0078181    -0.00780532    -0.00778722
       -0.00801    -0.00808778    -0.00807582    -0.00805876
      -0.008155     -0.0082223    -0.00821188    -0.00819687
      -0.008229    -0.00828685    -0.00827846    -0.00826667
      -0.008259    -0.00831279    -0.00830679    -0.00829923
      -0.008259    -0.00831279    -0.00830938    -0.00830658
      -0.008229    -0.00828685     -0.0082861    -0.00828791
      -0.008155     -0.0082223    -0.00822409    -0.00822965
       -0.00801    -0.00808778    -0.00809171    -0.00809966
       -0.00773     -0.0078181    -0.00782349    -0.00783221
      -0.007192    -0.00728262    -0.00728851    -0.00729646
      -0.006158    -0.00622212    -0.00622732    -0.00623327
      -0.004168    -0.00412563    -0.00412886      -0.004132
      -0.004401    -0.00435685    -0.00434961    -0.00433823
      -0.006569    -0.00663483    -0.00662359    -0.00660705
       -0.00773     -0.0078181    -0.00780532    -0.00778722
