       # iter     analytical       residual
            224      0.0497919    0.000577668
            225      0.0490786    0.000569825
            226      0.0483751    0.000562093
            227       0.047681    0.000554462
            228      0.0469964    0.000546931
            229      0.0463211    0.000539498
            230       0.045655    0.000532162
            231      0.0449979    0.000524922
            232      0.0443498    0.000517777
            233      0.0437104    0.000510726
            234      0.0430798    0.000503768
            235      0.0424578      0.0004969
            236      0.0418442    0.000490124
            237       0.041239    0.000483436
            238      0.0406421    0.000476836
            239      0.0400533    0.000470323
            240      0.0394726    0.000463897
            241      0.0388997    0.000457555
            242      0.0383347    0.000451297
            243      0.0377775    0.000445121
            244      0.0372278    0.000439027
            245      0.0366857    0.000433014
            246       0.036151    0.000427081
            247      0.0356236    0.000421226
            248      0.0351035    0.000415449
            249      0.0345904    0.000409749
            250      0.0340844    0.000404125
            251      0.0335854    0.000398575
            252      0.0330932    0.000393099
            253      0.0326078    0.000387696
            254       0.032129    0.000382366
            255      0.0316568    0.000377106
            256      0.0311911    0.000371916
            257      0.0307318    0.000366796
            258      0.0302788    0.000361744
            259      0.0298321     0.00035676
            260      0.0293915    0.000351843
            261       0.028957    0.000346991
            262      0.0285285    0.000342205
            263      0.0281058    0.000337482
            264       0.027689    0.000332823
            265       0.027278    0.000328227
            266      0.0268726    0.000323692
            267      0.0264729    0.000319219
            268      0.0260786    0.000314805
            269      0.0256898    0.000310451
            270      0.0253064    0.000306156
            271      0.0249282    0.000301919
            272      0.0245553    0.000297738
            273      0.0241876    0.000293614
            274       0.023825    0.000289546
            275      0.0234673    0.000285533
            276      0.0231147    0.000281574
            277      0.0227669    0.000277669
            278      0.0224239    0.000273816
            279      0.0220857    0.000270016
            280      0.0217522    0.000266267
            281      0.0214233    0.000262569
            282       0.021099    0.000258921
            283      0.0207791    0.000255323
            284      0.0204638    0.000251773
            285      0.0201528    0.000248272
            286      0.0198461    0.000244818
            287      0.0195437    0.000241412
            288      0.0192455    0.000238051
            289      0.0189514    0.000234737
            290      0.0186614    0.000231468
            291      0.0183755    0.000228243
            292      0.0180935    0.000225062
            293      0.0178155    0.000221925
            294      0.0175414     0.00021883
            295       0.017271    0.000215778
            296      0.0170045    0.000212767
            297      0.0167416    0.000209798
            298      0.0164824    0.000206869
            299      0.0162269     0.00020398
            300      0.0159749    0.000201131
            301      0.0157264    0.000198321
            302      0.0154814    0.000195549
            303      0.0152398    0.000192816
            304      0.0150016    0.000190119
            305      0.0147667     0.00018746
            306      0.0145351    0.000184838
            307      0.0143067    0.000182251
            308      0.0140815      0.0001797
            309      0.0138595    0.000177184
            310      0.0136406    0.000174702
            311      0.0134247    0.000172255
            312      0.0132119    0.000169842
            313      0.0130021    0.000167461
            314      0.0127951    0.000165114
            315      0.0125911    0.000162799
            316        0.01239    0.000160515
            317      0.0121916    0.000158263
            318      0.0119961    0.000156043
            319      0.0118033    0.000153853
            320      0.0116132    0.000151693
            321      0.0114257    0.000149563
            322      0.0112409    0.000147462
            323      0.0110587    0.000145391
            324       0.010879    0.000143348
            325      0.0107019    0.000141333
            326      0.0105272    0.000139347
            327       0.010355    0.000137387
            328      0.0101852    0.000135455
            329      0.0100179     0.00013355
            330     0.00985281    0.000131671
            331     0.00969009    0.000129818
            332     0.00952966    0.000127991
            333     0.00937149    0.000126189
            334     0.00921554    0.000124412
            335     0.00906178     0.00012266
            336     0.00891019    0.000120933
            337     0.00876073    0.000119229
            338     0.00861338    0.000117549
            339      0.0084681    0.000115892
            340     0.00832486    0.000114258
            341     0.00818365    0.000112647
            342     0.00804442    0.000111059
            343     0.00790716    0.000109492
            344     0.00777183    0.000107947
            345     0.00763841    0.000106424
            346     0.00750687    0.000104922
            347     0.00737718    0.000103441
            348     0.00724933    0.000101981
            349     0.00712328    0.000100541
            350       0.006999    9.91211e-05
