       # iter     analytical       residual
              0       0.993775     0.00993934
              1       0.987587     0.00987904
              2       0.981437     0.00981911
              3       0.975325     0.00975954
              4       0.969249     0.00970033
              5       0.963211     0.00964149
              6       0.957208       0.009583
              7       0.951243     0.00952486
              8       0.945313     0.00946708
              9        0.93942     0.00940965
             10       0.933562     0.00935256
             11        0.92774     0.00929583
             12       0.921953     0.00923943
             13       0.916201     0.00918338
             14       0.910485     0.00912767
             15       0.904802      0.0090723
             16       0.899155     0.00901726
             17       0.893541     0.00896256
             18       0.887962     0.00890819
             19       0.882416     0.00885415
             20       0.876904     0.00880043
             21       0.871426     0.00874704
             22       0.865981     0.00869398
             23       0.860568     0.00864124
             24       0.855189     0.00858882
             25       0.849842     0.00853671
             26       0.844528     0.00848492
             27       0.839246     0.00843345
             28       0.833996     0.00838229
             29       0.828778     0.00833144
             30       0.823591      0.0082809
             31       0.818436     0.00823066
             32       0.813312     0.00818073
             33        0.80822      0.0081311
             34       0.803158     0.00808177
             35       0.798127     0.00803275
             36       0.793126     0.00798401
             37       0.788156     0.00793558
             38       0.783216     0.00788744
             39       0.778306     0.00783959
             40       0.773425     0.00779203
             41       0.768575     0.00774476
             42       0.763753     0.00769778
             43       0.758961     0.00765108
             44       0.754198     0.00760466
             45       0.749464     0.00755853
             46       0.744759     0.00751268
             47       0.740082      0.0074671
             48       0.735434      0.0074218
             49       0.730813     0.00737678
             50       0.726221     0.00733203
             51       0.721657     0.00728755
             52        0.71712     0.00724334
             53       0.712611      0.0071994
             54       0.708129     0.00715572
             55       0.703675     0.00711231
             56       0.699247     0.00706916
             57       0.694846     0.00702628
             58       0.690472     0.00698365
             59       0.686125     0.00694129
             60       0.681804     0.00689918
             61       0.677509     0.00685732
             62        0.67324     0.00681572
             63       0.668997     0.00677438
             64        0.66478     0.00673328
             65       0.660588     0.00669243
             66       0.656422     0.00665183
             67       0.652281     0.00661148
             68       0.648165     0.00657137
             69       0.644075     0.00653151
             70       0.640009     0.00649188
             71       0.635967      0.0064525
             72        0.63195     0.00641335
             73       0.627958     0.00637445
             74        0.62399     0.00633578
             75       0.620045     0.00629734
             76       0.616125     0.00625914
             77       0.612229     0.00622117
             78       0.608356     0.00618342
             79       0.604507     0.00614591
             80       0.600681     0.00610863
             81       0.596878     0.00607157
             82       0.593098     0.00603473
             83       0.589341     0.00599812
             84       0.585607     0.00596173
             85       0.581896     0.00592556
             86       0.578207     0.00588961
             87       0.574541     0.00585388
             88       0.570897     0.00581837
             89       0.567275     0.00578306
             90       0.563675     0.00574798
             91       0.560096      0.0057131
             92        0.55654     0.00567844
             93       0.553005     0.00564399
             94       0.549491     0.00560974
             95       0.545999      0.0055757
             96       0.542528     0.00554187
             97       0.539078     0.00550824
             98       0.535649     0.00547482
             99       0.532241      0.0054416
            100       0.528853     0.00540858
            101       0.525486     0.00537575
            102        0.52214     0.00534313
            103       0.518814      0.0053107
            104       0.515508     0.00527847
            105       0.512222     0.00524643
            106       0.508956     0.00521459
            107       0.505709     0.00518294
            108       0.502483     0.00515148
            109       0.499276      0.0051202
            110       0.496089     0.00508912
            111       0.492921     0.00505822
            112       0.489772     0.00502751
            113       0.486642     0.00499699
            114       0.483531     0.00496664
            115       0.480439     0.00493648
            116       0.477366      0.0049065
            117       0.474312      0.0048767
            118       0.471276     0.00484708
            119       0.468259     0.00481764
            120       0.465259     0.00478837
            121       0.462279     0.00475928
            122       0.459316     0.00473036
            123       0.456371     0.00470162
            124       0.453444     0.00467304
            125       0.450535     0.00464464
            126       0.447644     0.00461641
            127        0.44477     0.00458834
            128       0.441914     0.00456045
            129       0.439075     0.00453272
            130       0.436253     0.00450515
            131       0.433448     0.00447775
            132       0.430661     0.00445051
            133        0.42789     0.00442344
            134       0.425137     0.00439652
            135         0.4224     0.00436977
            136       0.419679     0.00434317
            137       0.416976     0.00431673
            138       0.414288     0.00429045
            139       0.411617     0.00426433
            140       0.408963     0.00423835
            141       0.406324     0.00421254
            142       0.403702     0.00418687
            143       0.401095     0.00416136
            144       0.398505       0.004136
            145        0.39593     0.00411079
            146       0.393371     0.00408572
            147       0.390828     0.00406081
            148         0.3883     0.00403604
            149       0.385787     0.00401141
            150        0.38329     0.00398694
