     # analyt         jacobi          gauss            sor
      -0.004075    -0.00411091    -0.00411068    -0.00411079
      -0.003965    -0.00400552    -0.00400537    -0.00400552
      -0.003839    -0.00387728    -0.00387718    -0.00387736
      -0.003685    -0.00372076    -0.00372071    -0.00372092
      -0.003489    -0.00352908    -0.00352907    -0.00352929
      -0.003256    -0.00329343    -0.00329346    -0.00329368
      -0.002973    -0.00300241    -0.00300246    -0.00300268
       -0.00261    -0.00264115    -0.00264121    -0.00264141
      -0.002163    -0.00219011    -0.00219017    -0.00219034
      -0.001616    -0.00162356    -0.00162361    -0.00162373
        -0.0009   -0.000907837    -0.00090787   -0.000907935
      -0.001007    -0.00100968    -0.00100935    -0.00100897
      -0.001818     -0.0018216    -0.00182096    -0.00182022
       -0.00245    -0.00247512    -0.00247418    -0.00247312
      -0.002973    -0.00300241    -0.00300121    -0.00299985
      -0.003401    -0.00342924    -0.00342778    -0.00342616
      -0.003739    -0.00377593    -0.00377424    -0.00377238
      -0.004019    -0.00405849    -0.00405659    -0.00405452
      -0.004254    -0.00428952    -0.00428743    -0.00428516
      -0.004441    -0.00447896     -0.0044767    -0.00447427
      -0.004595    -0.00463471    -0.00463229    -0.00462971
      -0.004728    -0.00476304    -0.00476049    -0.00475779
      -0.004834    -0.00486901    -0.00486633    -0.00486353
      -0.004921    -0.00495666    -0.00495388    -0.00495099
      -0.004997    -0.00502927    -0.00502639    -0.00502344
      -0.005059    -0.00508949    -0.00508654    -0.00508353
      -0.005108     -0.0051395    -0.00513648    -0.00513344
      -0.005152    -0.00518105    -0.00517798    -0.00517491
      -0.005189    -0.00521559    -0.00521249    -0.00520941
      -0.005217    -0.00524432    -0.00524119    -0.00523811
      -0.005242     -0.0052682    -0.00526506    -0.00526199
      -0.005264    -0.00528804     -0.0052849    -0.00528185
      -0.005281     -0.0053045    -0.00530137    -0.00529836
      -0.005294    -0.00531814    -0.00531502    -0.00531205
      -0.005308    -0.00532938    -0.00532629    -0.00532337
      -0.005317    -0.00533861    -0.00533556    -0.00533269
      -0.005324    -0.00534612    -0.00534311    -0.00534031
      -0.005332    -0.00535217     -0.0053492    -0.00534648
      -0.005338    -0.00535693    -0.00535402    -0.00535138
       -0.00534    -0.00536057    -0.00535773    -0.00535516
      -0.005343     -0.0053632    -0.00536043    -0.00535796
      -0.005346    -0.00536491    -0.00536221    -0.00535984
      -0.005346    -0.00536575    -0.00536314    -0.00536087
      -0.005346    -0.00536575    -0.00536323    -0.00536107
      -0.005346    -0.00536491    -0.00536248    -0.00536043
      -0.005343     -0.0053632    -0.00536087    -0.00535894
       -0.00534    -0.00536057    -0.00535834    -0.00535653
      -0.005338    -0.00535693    -0.00535481    -0.00535313
      -0.005332    -0.00535217    -0.00535016     -0.0053486
      -0.005324    -0.00534612    -0.00534423     -0.0053428
      -0.005317    -0.00533861    -0.00533683    -0.00533554
      -0.005308    -0.00532938    -0.00532772    -0.00532656
      -0.005294    -0.00531814     -0.0053166    -0.00531556
      -0.005281     -0.0053045    -0.00530309    -0.00530219
      -0.005264    -0.00528804    -0.00528675    -0.00528597
      -0.005242     -0.0052682    -0.00526703    -0.00526638
      -0.005217    -0.00524432    -0.00524327    -0.00524274
      -0.005189    -0.00521559    -0.00521466    -0.00521425
      -0.005152    -0.00518105    -0.00518024    -0.00517994
      -0.005108     -0.0051395     -0.0051388    -0.00513861
      -0.005059    -0.00508949    -0.00508891    -0.00508881
      -0.004997    -0.00502927    -0.00502879    -0.00502879
      -0.004921    -0.00495666    -0.00495628    -0.00495636
      -0.004834    -0.00486901    -0.00486872    -0.00486887
      -0.004728    -0.00476304    -0.00476284    -0.00476305
      -0.004595    -0.00463471    -0.00463458    -0.00463483
      -0.004441    -0.00447896     -0.0044789    -0.00447919
      -0.004254    -0.00428952    -0.00428951    -0.00428983
      -0.004019    -0.00405849    -0.00405853    -0.00405885
      -0.003739    -0.00377593      -0.003776    -0.00377632
      -0.003401    -0.00342924    -0.00342933    -0.00342963
      -0.002973    -0.00300241    -0.00300252    -0.00300279
       -0.00245    -0.00247512    -0.00247522    -0.00247544
      -0.001818     -0.0018216    -0.00182169    -0.00182185
      -0.001007    -0.00100968    -0.00100973    -0.00100982
      -0.001082    -0.00108982    -0.00108944      -0.001089
      -0.001968    -0.00197846    -0.00197771    -0.00197686
      -0.002671    -0.00270272    -0.00270164    -0.00270042
      -0.003256    -0.00329343    -0.00329204    -0.00329048
      -0.003739    -0.00377593    -0.00377424    -0.00377238
      -0.004126    -0.00417078    -0.00416883     -0.0041667
      -0.004447    -0.00449459    -0.00449239    -0.00449002
      -0.004717    -0.00476069    -0.00475827    -0.00475568
      -0.004934    -0.00497981     -0.0049772    -0.00497442
      -0.005113     -0.0051606    -0.00515781    -0.00515487
      -0.005267    -0.00531002    -0.00530707    -0.00530399
      -0.005391     -0.0054337    -0.00543061    -0.00542742
      -0.005493    -0.00553623    -0.00553302    -0.00552973
      -0.005582    -0.00562131      -0.005618    -0.00561464
      -0.005655      -0.005692    -0.00568861    -0.00568519
      -0.005713    -0.00575078    -0.00574732    -0.00574386
      -0.005764    -0.00579968    -0.00579616    -0.00579269
      -0.005808    -0.00584038    -0.00583682    -0.00583334
      -0.005841    -0.00587425    -0.00587068     -0.0058672
       -0.00587    -0.00590244    -0.00589885    -0.00589539
      -0.005897    -0.00592588    -0.00592229    -0.00591886
      -0.005916    -0.00594534    -0.00594177    -0.00593838
      -0.005932    -0.00596147    -0.00595792    -0.00595458
      -0.005948    -0.00597478    -0.00597126    -0.00596799
      -0.005959    -0.00598571    -0.00598223    -0.00597903
      -0.005968    -0.00599461    -0.00599118    -0.00598806
      -0.005977    -0.00600176     -0.0059984    -0.00599537
      -0.005983    -0.00600741    -0.00600412    -0.00600118
      -0.005986    -0.00601172    -0.00600851    -0.00600567
       -0.00599    -0.00601484    -0.00601171    -0.00600899
      -0.005994    -0.00601687    -0.00601383    -0.00601122
      -0.005993    -0.00601786    -0.00601493    -0.00601244
      -0.005993    -0.00601786    -0.00601503    -0.00601267
      -0.005994    -0.00601687    -0.00601415    -0.00601192
       -0.00599    -0.00601484    -0.00601224    -0.00601015
      -0.005986    -0.00601172    -0.00600924    -0.00600729
      -0.005983    -0.00600741    -0.00600505    -0.00600325
      -0.005977    -0.00600176    -0.00599953    -0.00599788
      -0.005968    -0.00599461    -0.00599251      -0.005991
      -0.005959    -0.00598571    -0.00598375    -0.00598239
      -0.005948    -0.00597478    -0.00597296    -0.00597175
      -0.005932    -0.00596147    -0.00595979    -0.00595874
      -0.005916    -0.00594534    -0.00594381     -0.0059429
      -0.005897    -0.00592588    -0.00592449    -0.00592373
       -0.00587    -0.00590244    -0.00590119    -0.00590058
      -0.005841    -0.00587425    -0.00587314    -0.00587266
      -0.005808    -0.00584038     -0.0058394    -0.00583906
      -0.005764    -0.00579968    -0.00579884    -0.00579862
      -0.005713    -0.00575078    -0.00575007    -0.00574997
      -0.005655      -0.005692    -0.00569142    -0.00569143
      -0.005582    -0.00562131    -0.00562085    -0.00562096
      -0.005493    -0.00553623    -0.00553587    -0.00553607
      -0.005391     -0.0054337    -0.00543345    -0.00543372
      -0.005267    -0.00531002    -0.00530986     -0.0053102
      -0.005113     -0.0051606    -0.00516053    -0.00516091
      -0.004934    -0.00497981    -0.00497981    -0.00498023
      -0.004717    -0.00476069    -0.00476075    -0.00476118
      -0.004447    -0.00449459    -0.00449469    -0.00449513
      -0.004126    -0.00417078    -0.00417092    -0.00417134
      -0.003739    -0.00377593    -0.00377608    -0.00377648
      -0.003256    -0.00329343    -0.00329359    -0.00329394
      -0.002671    -0.00270272    -0.00270286    -0.00270315
      -0.001968    -0.00197846    -0.00197857    -0.00197878
      -0.001082    -0.00108982    -0.00108989       -0.00109
