       # iter     analytical       residual
              0       0.711751       0.222921
              1        0.55086       0.163572
              2       0.450574       0.212106
              3       0.393032       0.205155
              4       0.345484       0.155432
              5        0.31315       0.141728
              6       0.289375        0.11325
              7       0.263561      0.0967301
              8       0.251546      0.0850595
              9       0.225106      0.0661716
             10       0.204858      0.0644307
             11       0.189169      0.0485541
             12       0.168732      0.0480142
             13       0.151919       0.035703
             14       0.138117      0.0345971
             15       0.121269      0.0259382
             16       0.109198      0.0239052
             17       0.098392      0.0185078
             18      0.0852095      0.0158667
             19      0.0761604      0.0130684
             20       0.067577      0.0112715
             21      0.0591804     0.00966237
             22      0.0531701      0.0088916
             23       0.047521     0.00776861
             24      0.0424636     0.00672595
             25      0.0377199     0.00634487
             26      0.0334626     0.00498007
             27      0.0294783     0.00505464
             28       0.025897     0.00381284
             29      0.0225542     0.00376587
             30       0.019548     0.00279339
             31      0.0167516     0.00261137
             32      0.0142392     0.00206019
             33      0.0119132     0.00168802
             34     0.00983021     0.00161457
             35     0.00791609     0.00122412
             36     0.00741998     0.00116449
             37     0.00680684    0.000838875
             38     0.00643873    0.000754849
             39     0.00656126    0.000526258
             40      0.0065365    0.000439642
             41     0.00646381    0.000299146
             42     0.00649652    0.000221423
             43     0.00654644    0.000135085
             44      0.0065464    9.25675e-05
