       # iter     analytical       residual
              0       0.680597     0.00908961
              1       0.461849     0.00473435
              2       0.312162     0.00325717
              3       0.209764     0.00224021
              4       0.139715     0.00153963
              5      0.0917861      0.0010565
              6      0.0592055    0.000722834
              7       0.037382     0.00049196
              8      0.0224672    0.000331887
              9      0.0132484    0.000220702
             10      0.0123369    0.000148273
             11      0.0123075    9.72136e-05
